Name,Street,District,Region,Status,Working hour,Price range,Rate Average,Review count,Rate Quality,Rate Price,Rate Location,Rate Service,Rate Space,Category
Hamburger & Bánh Mì - BREAD 24H,"504 Điện Biên Phủ, P. 3",Quận 3,TP. HCM,Đang mở cửa,00:01 - 23:59,15.000đ - 40.000đ,9.3,2,10.0,10.0,9.5,8.5,8.5,Đồ ăn
McDonald's Ben Thanh,"2-2A Trần Hưng Đạo, P. Bến Thành",Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,50.000đ - 200.000đ,7.3,376,7.9,7.6,7.2,7.2,6.5,Đồ ăn
Quán Của Lâm - Food & Drink,"60 Trịnh Đình Trọng, P. Phú Trung",Quận Tân Phú,TP. HCM,Đang mở cửa,00:01 - 02:00 | 09:00 - 23:59,10.000đ - 40.000đ,6.8,14,7.5,6.9,6.9,6.5,6.2,Đồ ăn
McDonald's Đa Kao,2 - 6 Bis Điện Biên Phủ,Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,50.000đ - 200.000đ,7.2,621,7.6,7.6,7.3,7.1,6.5,Đồ ăn
Cơm Tấm Huyền - Đinh Tiên Hoàng,"Hẻm 95 Đinh Tiên Hoàng, P. 3",Quận Bình Thạnh,TP. HCM,Đang mở cửa,00:01 - 04:00 | 16:00 - 23:59,30.000đ - 45.000đ,6.0,68,6.5,6.4,6.1,5.6,5.2,Đồ ăn
Cháo Sườn Ngọc Bích - Nguyễn Hồng Đào,"91/14 Nguyễn Hồng Đào, P. 14",Quận Tân Bình,TP. HCM,,06:00 - 20:00,20.000đ - 30.000đ,6.2,4,6.8,6.3,6.3,6.3,5.5,Đồ ăn
Cơm Chiên & Nui Xào Bò - Cống Quỳnh,102/12 Cống Quỳnh,Quận 1,TP. HCM,Đang mở cửa,00:01 - 02:30 | 14:00 - 23:59,15.000đ - 33.000đ,6.3,18,6.8,6.5,6.3,5.9,5.8,Đồ ăn
Thành Đạt - Hủ Tiếu Nam Vang - Lý Thái Tổ,"16 Lý Thái Tổ, P. 2",Quận 3,TP. HCM,Đang mở cửa,00:01 - 23:59,49.000đ - 55.000đ,5.7,19,6.1,5.9,5.9,5.4,5.3,Đồ ăn
"Big Burger - Hamburger, Beefsteak & Bakery - Trần Hưng Đạo",131 Trần Hưng Đạo,Quận 5,TP. HCM,,07:00 - 23:00,10.000đ - 110.000đ,7.0,43,7.3,7.2,7.1,7.0,6.6,Đồ ăn
Anna - Bánh Mì Thổ Nhĩ Kỳ - Hậu Giang,"888 Hậu Giang, P. 12",Quận 6,TP. HCM,Đang mở cửa,00:01 - 23:59,18.000đ - 30.000đ,6.7,2,7.5,7.0,6.5,6.5,6.0,Đồ ăn
Thành Đạt - Hủ Tiếu Nam Vang - Âu Cơ,"609 Âu Cơ, P. Phú Trung",Quận Tân Phú,TP. HCM,Đang mở cửa,00:01 - 23:59,30.000đ - 40.000đ,6.7,20,7.2,7.1,6.8,6.4,6.3,Đồ ăn
Cháo Ếch Singapore - Hạ Vũ,"355 Nguyễn Thị Nhỏ, P. 16",Quận 11,TP. HCM,Đang mở cửa,00:01 - 23:59,45.000đ - 130.000đ,10.0,1,10.0,10.0,10.0,10.0,10.0,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Xô Viết Nghệ Tĩnh","551 Xô Viết Nghệ Tĩnh, P. 26",Quận Bình Thạnh,TP. HCM,,10:00 - 22:00,20.000đ - 35.000đ,7.4,64,7.8,7.6,7.4,7.3,7.2,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Âu Cơ","496 Âu Cơ, P. 10",Quận Tân Bình,TP. HCM,Đang mở cửa,00:01 - 02:00 | 09:00 - 23:59,12.000đ - 120.000đ,9.1,9,9.3,9.3,9.2,9.2,8.4,Đồ ăn
Phở Hà - Hải Triều - Since 1990,"19 Hải Triều, P. Bến Nghé",Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,45.000đ - 60.000đ,4.5,10,5.4,4.9,4.2,4.2,4.0,Đồ ăn
"Heo Con - Gà Rán, Hamburger & Sushi","16 Đường D3, KP. 1, P. Linh Tây",Tp. Thủ Đức,TP. HCM,,06:00 - 21:00,20.000đ - 55.000đ,7.7,10,7.9,7.7,7.7,7.6,7.5,Đồ ăn
Bún Bò Vương - Thống Nhất,"674 Thống Nhất, P. 15",Quận Gò Vấp,TP. HCM,Đang mở cửa,00:01 - 13:00 | 00:01 - 13:00 | 21:00 - 23:59,22.000đ - 45.000đ,7.9,8,8.5,8.4,7.9,7.6,7.1,Đồ ăn
Bánh Cuốn Ba Miền - Trường Chinh,"243 Trường Chinh, P. 12",Quận Tân Bình,TP. HCM,Đang mở cửa,00:01 - 23:59,20.000đ - 30.000đ,6.3,58,6.7,6.5,6.1,6.1,6.0,Đồ ăn
Thành Đạt - Hủ Tiếu Nam Vang - Nguyễn Hữu Cầu,"22B Nguyễn Hữu Cầu, P. Tân Định",Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,45.000đ - 65.000đ,6.7,40,7.2,6.7,6.5,6.5,6.4,Đồ ăn
Thành Đạt - Hủ Tíu Nam Vang - Cô Bắc,"34 Cô Bắc, P. Cầu Ông Lãnh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 04:30 | 05:30 - 23:59,35.000đ - 50.000đ,6.5,133,7.0,6.9,6.6,6.1,5.8,Đồ ăn
Chảo Đỏ - Mì Trộn & Cơm Chiên - Phan Huy Ích,"162 Phan Huy Ích, P. 12",Quận Gò Vấp,TP. HCM,Đang mở cửa,00:01 - 05:59 | 06:00 - 23:59,30.000đ - 42.000đ,10.0,1,10.0,10.0,10.0,10.0,10.0,Đồ ăn
Cháo Trắng Hàng Xanh,"283 Xô Viết Nghệ Tĩnh, P. 25",Quận Bình Thạnh,TP. HCM,,13:00 - 23:59,15.000đ - 33.000đ,6.5,53,7.0,6.5,6.5,6.2,6.1,Đồ ăn
Cháo Sườn Chú Chen - Nguyễn Trãi,"281 - 283 Nguyễn Trãi, P. Nguyễn Cư Trinh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 02:00 | 07:10 - 23:59,35.000đ - 79.000đ,7.1,233,7.5,7.3,7.1,7.0,6.5,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Thống Nhất","439 Thống Nhất, P. 11",Quận Gò Vấp,TP. HCM,,09:00 - 23:59,12.000đ - 120.000đ,8.6,4,9.3,9.0,8.8,8.5,7.5,Đồ ăn
